city,N,dist,improver,strategy,cf,sl_var,acceptance,constructor,overflows,kg,ncol,kg_lost,km,kgkm,reward,profit,time,days
Rio Maior,170,Empirical,CLS,LM,CF70,,custom,PG-CLNS,4.0,13609.225,1566.0,2.85,2929.1639999999998,4.646112337854761,10676.061000000002,5014.5406325,1301.0112478379997,17
Rio Maior,170,Empirical,CLS,LM,CF70,,bmc,PSOMA,5.0,13483.825,1249.0,9.975000000000001,2949.394,4.571727276857552,10529.431,4921.114652499999,1118.738213984001,19
Rio Maior,170,Empirical,CLS,LM,CF70,,new,SANS,6.0,14043.375,2396.0,13.3,3909.995,3.5916606031465514,10127.380000000001,4287.1229875,1096.5395422170004,18
Rio Maior,170,Empirical,CLS,LM,CF70,,gurobi,SWC-TCF,4.0,13639.625,1512.0,2.85,3197.55,4.265648699785773,10438.075,4763.8991125,1037.533173480002,17
Rio Maior,170,Empirical,CLS,LM,CF90,,custom,ACO_HH,9.0,13053.95,1202.0,43.7,2419.5010000000007,5.3953067182034635,10625.449,5200.089615000002,210.24788430699846,13
Rio Maior,170,Empirical,CLS,LM,CF90,,custom_bmc,ALNS,8.0,13258.2,1219.0,22.325,2271.8709999999996,5.83580669853174,10978.329000000002,5466.940340000002,727.5059090489995,12
Rio Maior,170,Empirical,CLS,LM,CF90,,custom,BPC,9.0,13253.45,1257.0,35.15,2316.331,5.721742704302623,10928.119,5419.707765,432.83610765100093,12
Rio Maior,170,Empirical,CLS,LM,CF90,,custom_oi,HGS,20.0,13196.925,970.0,45.125,2065.0980000000004,6.390459435823383,11111.827,5637.9471225,1211.2769215260014,11
Rio Maior,170,Empirical,CLS,LM,CF90,,custom,PG-CLNS,8.0,13268.175,1321.0,22.325,2278.9700000000003,5.822005116346419,10981.204999999998,5465.663747500001,923.5709634640007,12
Rio Maior,170,Empirical,CLS,LM,CF90,,bmc,PSOMA,7.0,13212.125,1165.0,11.4,2233.0800000000004,5.916547996489153,10972.045,5478.8373624999995,729.9261238609979,12
Rio Maior,170,Empirical,CLS,LM,CF90,,new,SANS,9.0,13268.65,1876.0,34.2,2896.051,4.581635475342113,10363.599,4848.8600050000005,733.6396320550011,12
Rio Maior,170,Empirical,CLS,LM,CF90,,gurobi,SWC-TCF,8.0,13278.625,1282.0,22.325,2497.974,5.315757890194213,10772.651,5252.7594125,727.606516238,12
Rio Maior,170,Empirical,FTSP,LM,CF70,,custom,ACO_HH,5.0,13400.225,1418.0,9.5,3719.475000000001,3.6027194698176483,9675.75,4102.2363325,509.16863520900006,21
Rio Maior,170,Empirical,FTSP,LM,CF70,,custom_bmc,ALNS,4.0,13585.0,1516.0,8.075000000000001,3648.989,3.7229490140967814,9932.011,4280.575500000001,1068.0537672209975,17
Rio Maior,170,Empirical,FTSP,LM,CF70,,custom,BPC,6.0,13955.025,1514.0,11.400000000000002,3674.757000000001,3.797536816720125,10274.267999999998,4470.791092500001,659.3483627349997,19
Rio Maior,170,Empirical,FTSP,LM,CF70,,custom_oi,HGS,6.0,13944.1,1372.0,11.400000000000002,3920.9259999999995,3.556328275514509,10017.174,4218.24517,1537.544416113,20
Rio Maior,170,Empirical,FTSP,LM,CF70,,custom,PG-CLNS,4.0,13609.225,1569.0,2.85,3695.4829999999993,3.6826647558654724,9909.742000000002,4248.2216325,1323.377448790001,17
