city,N,dist,improver,strategy,cf,sl_var,constructor,overflows,kg,ncol,kg_lost,km,kgkm,reward,profit,time,days
Rio Maior,100,Empirical,FTSP,SL,,SL1,PSOMA,5.0,21816.274999999994,1775.0,19.0,5603.384000000002,3.893410660415204,16207.890999999992,7130.7757175,1183.0276758640102,44
Rio Maior,100,Empirical,FTSP,SL,,SL2,ACO_HH,2.0,22080.374999999996,2823.0,2.375,8514.114,2.5933849370586297,13564.260999999997,4374.2008875,573.918289194,69
Rio Maior,100,Empirical,FTSP,SL,,SL2,BPC,2.0,22094.624999999996,2904.0,2.375,8331.698000000002,2.6518754040292856,13760.926999999994,4564.934612499998,1574.3765095699928,68
Rio Maior,100,Empirical,FTSP,SL,,SL2,PG-CLNS,2.0,22098.424999999996,2800.0,2.375,8283.404,2.667795147985055,13813.020999999995,4615.446672500002,4289.9006630130025,67
Rio Maior,100,Empirical,FTSP,SL,,SL2,PSOMA,2.0,22058.049999999996,2024.0,2.375,8267.561,2.6680238585478833,13788.488999999996,4607.722785,1751.4796054269973,70
Rio Maior,100,Gamma-3,CLS,LA,,,BPC,15.0,58891.800307354104,4332.0,65.60788410615763,6194.043000000001,9.507812636650101,52682.757307354106,28181.100839402592,1327.1453694360098,45
Rio Maior,100,Gamma-3,CLS,LA,,,PG-CLNS,15.0,58891.800307354104,4385.0,65.60788410615763,5920.461000000001,9.947164639266113,52956.3393073541,28454.68283940259,3429.4276354869944,45
Rio Maior,100,Gamma-3,FTSP,LA,,,ACO_HH,15.0,58891.800307354104,4317.0,65.60788410615763,7172.184999999998,8.211137931795419,51704.615307354106,27202.95883940259,805.6366233209992,45
Rio Maior,100,Gamma-3,FTSP,LA,,,BPC,15.0,58891.800307354104,4332.0,65.60788410615763,7185.3269999999975,8.19611971833072,51691.47330735411,27189.816839402585,1448.4981131780078,45
Rio Maior,100,Gamma-3,FTSP,LA,,,SWC-TCF,15.0,58891.800307354104,4462.0,65.60788410615763,7490.820999999996,7.861861911712232,51385.97930735411,26884.322839402594,1060.5402743820014,45
Rio Maior,100,Gamma-3,CLS,LM,CF70,,BPC,13.0,58885.80836498137,4591.0,61.458012533883036,6506.374999999999,9.050478702039365,52366.43336498137,27865.271342639637,1250.2997935739986,48
Rio Maior,100,Gamma-3,CLS,LM,CF70,,HGS,13.0,58886.147043123005,4561.0,61.458012533883036,6417.784999999999,9.17546272477545,52455.36204312301,27954.059029070897,3363.086320353992,48
Rio Maior,100,Gamma-3,CLS,LM,CF70,,PG-CLNS,13.0,58895.95017892638,4637.0,61.458012533883036,6235.808,9.444798521527023,52647.142178926384,28141.758119439328,3018.787360567003,48
Rio Maior,100,Gamma-3,CLS,LM,CF90,,BPC,57.0,57864.80541024789,3519.0,420.9766739745483,5029.985,11.503971763384563,52777.82041024789,28745.701917961695,947.8938004219963,36
Rio Maior,100,Gamma-3,CLS,LM,CF90,,HGS,57.0,57847.28883958995,3476.0,420.9766739745483,4971.678,11.635365130161276,52818.61083958995,28793.78449566865,2700.245374228005,36
Rio Maior,100,Gamma-3,CLS,LM,CF90,,PG-CLNS,57.0,57861.94004308649,3546.0,420.9766739745483,4790.192999999999,12.079250260498167,53014.74704308649,28983.82140314958,2271.264164855005,36
Rio Maior,100,Gamma-3,FTSP,LM,CF70,,BPC,13.0,58885.80836498137,4591.0,61.458012533883036,7572.300999999999,7.776474860809334,51300.50736498137,26799.345342639626,1345.2507929819985,48
Rio Maior,100,Gamma-3,FTSP,LM,CF90,,BPC,57.0,57864.80541024789,3519.0,420.9766739745483,5861.759999999999,9.871575330659716,51946.04541024789,27913.926917961686,1019.0201773440058,36
Rio Maior,100,Gamma-3,CLS,SL,,SL1,ACO_HH,9.0,58247.25860834701,4811.0,34.986912034979525,6774.933999999998,8.597465098309005,51463.32460834701,27223.99084969215,470.45967458699306,53
Rio Maior,100,Gamma-3,CLS,SL,,SL1,BPC,9.0,58250.123975508395,4917.0,34.986912034979525,6940.273000000001,8.393059462575664,51300.850975508394,27060.324364504253,1353.0538272139966,52
Rio Maior,100,Gamma-3,CLS,SL,,SL1,PG-CLNS,9.0,58247.258608347,4994.0,34.986912034979525,6706.848999999998,8.684742806696113,51531.40960834701,27292.07584969214,3251.3135968959978,52
Rio Maior,100,Gamma-3,CLS,SL,,SL1,SANS,9.0,58250.79517218745,5198.0,34.986912034979525,7554.421999999992,7.710820916833546,50687.37317218746,26446.56714200582,3143.847363452005,52
Rio Maior,100,Gamma-3,CLS,SL,,SL2,ACO_HH,1.0,58940.577052249326,7829.0,0.0,11015.417000000001,5.350734979188651,47924.160052249325,23388.19782539794,746.3241802150005,90
Rio Maior,100,Gamma-3,CLS,SL,,SL2,BPC,1.0,58945.52345251263,8046.0,0.0,11401.948999999999,5.169776101657062,47542.57445251263,23004.55303923162,2346.213986208997,90
Rio Maior,100,Gamma-3,CLS,SL,,SL2,PG-CLNS,1.0,58946.3555526935,8178.0,0.0,10946.580000000002,5.384910680111368,47998.7755526935,23460.4077361072,5626.517868377006,90
Rio Maior,100,Gamma-3,CLS,SL,,SL2,SANS,1.0,58957.40819146026,8995.0,0.0,13074.652999999982,4.50929047152994,45881.75519146027,21338.786161355365,5433.053266947012,90
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,ACO_HH,9.0,58247.258608347,4825.0,34.986912034979525,8089.732999999998,7.200145988544618,50148.525608347,25909.191849692143,600.0896658440033,53
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,BPC,9.0,58250.123975508395,4917.0,34.986912034979525,8117.244000000002,7.176096218803867,50123.87997550839,25883.353364504248,1488.4756480359938,52
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,PG-CLNS,9.0,58247.258608347,4993.0,34.986912034979525,8238.396999999997,7.070217495994308,49999.861608347004,25760.527849692146,3371.4453031300072,52
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,PSOMA,9.0,58250.79517218745,4896.0,34.986912034979525,8358.899999999996,6.968715401809745,49882.895172187455,25642.08914200582,1570.214871780001,52
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,ACO_HH,1.0,58953.147254365584,7833.0,0.0,13283.722999999993,4.437998839208377,45668.42425436559,21127.229052373197,1184.8781757820107,90
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,BPC,1.0,58945.52345251263,8046.0,0.0,13314.448999999997,4.427184591154515,45630.074452512636,21092.05303923163,2534.3770537740056,90
