0,192,211,340,505,754,787,894,904,991,993,995,1000,1171,1173,1174,1299,1301,1459,1496,1655,3224,3292,3315,5730,5752,5931,5933,5938,5940,5977,6077,6092,6908,6914,7244,7246,7255,7442,7445,7473,7937,7938,7940,7941,10835,11031,11213,11545,11552,11556,11562,11571,11778,11779,11781,11782,11787,11789,11790,11797,11800,11801,11805,11808,11809,11810,11811,11812,11813,11821,11824,11826,11829,11835,11838,11860,11883,11922,11983,11986,11989,11992,12036,12216,12344,12462,12482,13081,13578,13579,13592,13633,13647,13750,16132,17812,17956,18741,20710,22056
55.101,5.957,3.723,1.606,2.4,6.766,1.303,0.731,1.362,0.0,1.306,1.697,3.088,5.134,0.881,4.595,1.262,1.432,2.29,1.218,0.528,1.375,1.454,1.052,5.129,5.319,1.012,0.887,1.097,1.209,1.356,1.055,1.324,4.199,3.022,2.467,1.134,1.399,1.525,1.41,2.284,1.297,1.604,0.881,1.036,2.07,3.393,2.252,3.643,1.169,4.173,3.567,1.279,3.104,3.607,2.929,4.773,5.894,6.429,6.388,6.618,2.07,2.016,5.137,1.716,2.249,2.62,4.084,4.234,1.267,0.39,6.217,4.042,1.375,2.166,6.227,1.533,1.539,3.706,0.982,2.85,0.836,1.633,4.441,2.304,5.685,3.573,2.756,6.096,5.909,2.465,1.137,3.822,0.592,2.958,4.008,2.892,5.428,2.309,0.758,6.08
54.121,4.977,4.078,1.786,3.12,5.785,0.965,0.764,1.146,1.152,0.0,0.717,2.939,4.986,1.187,4.95,0.978,1.216,2.634,1.002,1.181,1.036,1.115,1.705,5.484,4.338,1.046,0.92,0.759,0.871,1.071,1.234,0.986,4.05,2.873,1.486,0.203,0.381,1.309,0.362,2.685,1.08,2.257,0.914,0.751,1.464,3.054,2.194,3.494,0.831,4.025,3.418,1.063,2.955,4.544,3.582,5.711,4.914,5.448,5.408,5.637,1.921,1.867,4.156,0.736,2.19,2.562,3.935,4.086,0.529,1.032,5.236,4.397,2.027,2.818,5.246,2.186,0.521,3.557,1.288,2.702,1.488,1.294,4.796,2.988,4.704,2.593,3.098,6.038,4.928,2.407,0.853,3.673,1.245,3.592,3.859,2.743,4.448,2.161,1.076,5.099
53.404,4.26,4.877,2.66,2.87,5.068,1.761,1.266,2.019,1.654,0.715,0.0,2.688,4.735,2.036,5.75,1.335,2.09,2.384,1.876,1.683,1.986,1.675,2.207,6.283,4.088,1.548,1.422,1.633,1.837,1.428,2.108,1.86,3.799,2.623,1.236,0.953,1.218,2.728,0.353,2.434,1.954,2.759,1.416,1.109,1.213,2.804,2.787,3.243,1.905,3.774,3.167,1.937,2.705,5.046,4.084,6.213,4.197,4.732,4.691,5.387,1.671,1.616,3.906,0.508,2.784,3.155,3.684,3.835,0.452,1.534,4.986,5.196,2.529,3.32,4.996,2.688,1.358,3.307,2.137,2.451,1.99,1.854,5.596,2.738,4.454,1.876,2.848,6.631,4.678,3.0,1.21,3.423,1.747,3.342,3.609,2.492,3.731,1.91,1.913,4.849
48.276,6.968,3.51,0.651,0.344,7.777,1.886,1.348,0.653,1.983,3.022,2.708,0.0,4.509,1.409,4.046,3.642,0.945,0.52,0.73,1.602,2.11,1.8,0.777,4.916,5.199,1.629,1.504,2.074,1.962,3.735,1.456,1.208,3.573,0.531,2.002,3.26,2.307,0.599,2.66,0.305,0.807,2.073,1.236,3.416,1.684,0.711,3.025,3.017,2.029,3.548,1.075,0.792,1.801,5.376,3.487,6.543,6.905,7.44,7.399,6.498,1.054,1.369,5.017,2.966,3.022,3.393,3.458,3.609,2.759,1.616,6.097,3.829,2.606,2.724,6.107,2.092,2.447,3.08,1.509,0.237,1.909,0.463,4.229,0.186,5.565,4.584,0.756,6.869,5.789,3.238,3.517,3.196,1.665,1.249,3.382,0.4,5.903,1.684,1.372,5.96
47.423,7.077,7.484,5.192,4.968,7.154,3.86,4.532,4.552,5.167,4.995,4.682,4.786,0.0,4.593,8.237,5.616,4.622,4.482,4.408,4.949,4.084,3.773,4.787,8.89,4.128,4.814,4.688,4.047,3.935,5.709,4.64,4.392,0.936,4.721,3.606,5.234,4.28,4.826,4.633,4.533,4.486,6.025,4.42,5.389,3.556,4.902,6.209,1.534,4.003,1.27,5.266,4.469,4.399,8.56,7.35,9.727,7.014,6.464,7.508,3.368,3.769,3.342,4.188,4.94,6.206,6.577,1.222,1.778,4.732,4.8,4.224,7.803,5.795,6.586,2.909,5.954,4.421,1.467,4.694,4.549,4.986,3.952,8.202,4.836,4.291,6.558,4.946,10.053,3.71,6.422,5.491,1.313,5.013,5.44,1.146,4.59,4.7,3.211,4.482,3.848
53.286,6.201,3.459,1.167,1.961,7.01,0.573,0.819,0.525,1.094,1.047,1.941,2.357,4.404,0.0,4.331,1.506,0.596,2.053,0.381,0.536,0.645,0.723,0.613,4.865,4.855,0.282,0.157,0.367,0.479,1.6,0.615,0.218,3.468,2.292,1.658,0.93,0.749,0.688,1.654,2.103,0.46,1.769,0.707,1.28,1.34,2.473,2.496,2.912,0.439,3.443,2.836,0.442,2.373,4.847,3.094,6.013,6.138,6.673,6.632,6.154,1.34,1.285,4.673,1.96,2.492,2.864,3.353,3.504,1.511,0.89,5.753,3.778,1.54,2.331,5.763,1.699,0.889,2.976,0.1,2.12,0.843,0.903,4.177,2.407,5.221,3.817,2.517,6.34,5.445,2.709,1.381,3.091,0.6,2.519,3.278,2.161,5.559,1.579,0.318,5.616
50.422,10.076,0.873,3.785,4.242,10.885,4.581,4.694,4.168,4.7,5.184,5.816,4.06,7.894,4.566,0.0,5.381,4.637,4.468,4.422,4.213,4.653,4.732,4.256,2.939,8.585,4.89,4.765,4.375,4.487,5.475,4.739,4.687,6.959,3.916,5.387,5.017,4.757,4.527,5.529,4.365,4.323,3.863,4.759,5.155,5.07,3.543,6.371,6.402,4.447,6.933,3.948,4.484,5.186,8.272,5.277,9.439,10.013,10.548,10.507,9.884,4.439,4.754,8.402,5.836,6.368,6.739,6.843,6.994,5.386,4.496,9.482,0.554,5.145,4.514,9.492,3.882,4.897,6.466,4.666,3.823,4.52,4.496,1.53,4.109,8.95,7.692,3.288,10.215,9.175,6.584,5.256,6.582,4.277,2.932,6.768,3.864,9.289,5.069,4.114,9.345
54.763,5.618,4.466,2.248,3.762,6.427,1.427,0.855,1.608,1.242,0.999,1.359,3.581,5.627,1.625,5.338,0.0,1.678,3.276,1.464,1.272,1.499,1.577,1.795,5.872,4.98,1.136,1.011,1.221,1.333,0.099,1.697,1.448,4.692,3.515,2.128,0.796,1.06,1.771,1.071,3.327,1.543,2.347,1.005,0.31,2.106,3.696,2.376,4.136,1.293,4.667,4.06,1.525,3.597,4.635,3.672,5.802,5.556,6.09,6.049,6.279,2.563,2.509,4.798,1.332,2.372,2.744,4.577,4.727,0.928,1.123,5.878,4.785,2.118,2.909,5.888,2.277,1.201,4.199,1.725,3.343,1.579,1.757,5.184,3.63,5.346,3.234,3.74,6.22,5.57,2.589,0.143,4.315,1.335,4.234,4.501,3.385,5.09,2.802,1.501,5.741
53.59,6.505,3.992,1.783,2.843,7.314,0.877,1.123,0.862,1.199,1.351,2.245,2.661,4.708,0.774,4.865,1.81,0.0,1.565,0.718,0.64,0.949,1.027,0.552,5.398,5.159,1.389,1.264,0.671,0.783,1.904,1.231,0.983,3.772,2.596,1.962,1.234,1.053,1.025,1.958,2.407,0.797,1.874,1.011,1.584,1.644,2.777,2.8,3.216,0.743,3.747,3.14,0.78,2.678,4.771,3.199,5.938,6.442,6.977,6.936,6.458,1.644,1.589,4.977,2.264,2.797,3.168,3.657,3.808,1.815,0.995,6.057,4.311,1.644,2.435,6.067,1.803,1.193,3.28,0.874,2.424,0.947,1.207,4.711,2.711,5.525,4.121,2.821,6.644,5.749,3.013,1.685,3.396,0.704,3.135,3.582,2.465,5.863,1.883,0.41,5.92
48.703,6.151,3.375,0.825,0.771,6.959,0.398,1.07,0.483,1.705,1.131,1.891,0.427,3.931,1.131,4.248,1.758,0.749,0.0,0.535,1.487,0.622,0.25,0.582,4.781,4.382,1.352,1.226,0.586,0.474,1.851,1.179,0.93,2.995,0.958,1.184,1.015,0.818,0.404,1.842,0.122,0.614,1.938,0.959,1.532,0.867,1.139,2.747,2.439,0.541,2.97,1.502,0.596,1.527,5.098,3.352,6.265,6.088,6.622,6.582,5.681,0.867,1.095,4.199,2.149,2.744,3.116,2.88,3.031,1.941,1.338,5.279,3.694,2.333,2.589,5.289,1.957,0.959,2.503,1.232,0.664,1.524,0.135,4.094,0.613,4.747,3.767,1.183,6.592,4.972,2.96,1.633,2.618,1.551,1.677,2.804,0.827,5.086,1.106,1.02,5.142
