n_bins,dist,run,policy_slug,n_days,overflows,kg,ncol,kg_lost,km,kg_per_km,reward,profit,time,days,policy,run_label
100,emp,sl_ftsp,service_level2_alns_custom_bmc_ftsp,30,0.0,7887.374999999999,1051.0,0.0,3216.077,2.4524832583299463,4671.297999999999,1387.7837875,1697.559548756999,27.0,alns,Service-Level+FTSP
100,emp,sl_ftsp,service_level2_bpc_custom_ftsp,30,0.0,7887.374999999999,1110.0,0.0,3255.402,2.4228574535495153,4631.972999999999,1348.4587874999997,756.7065526219994,27.0,bpc,Service-Level+FTSP
100,emp,sl_ftsp,service_level2_hgs_custom_oi_ftsp,30,2.0,7889.75,793.0,4.275,2531.236,3.1169555110625797,5356.514,2074.011075,1783.8224864580006,20.0,hgs,Service-Level+FTSP
100,emp,sl_ftsp,service_level2_pg_clns_custom_ftsp,30,0.0,7887.374999999999,1091.0,0.0,3287.0660000000003,2.3995182938219064,4600.308999999999,1316.7947875000004,2045.2762445980006,27.0,pg_clns,Service-Level+FTSP
100,emp,sl_ftsp,service_level2_psoma_bmc_ftsp,30,0.0,7864.1,747.0,0.0,3113.5370000000003,2.5257769539915538,4750.563,1476.7381700000003,1188.0034308939976,27.0,psoma,Service-Level+FTSP
100,emp,sl_ftsp,service_level2_sans_new_ftsp,30,0.0,7721.125,1611.0,0.0,3852.8059999999987,2.0040264160718193,3868.3190000000013,654.0146624999999,1780.8560887089989,29.0,sans_new,Service-Level+FTSP
100,emp,sl_ftsp,service_level2_swc_tcf_gurobi_ftsp,30,0.0,7894.025,961.0,0.0,3357.2139999999995,2.3513618732675368,4536.811,1250.5283924999999,1651.8107726550006,27.0,swc_tcf,Service-Level+FTSP
100,gamma3,la_ftsp,lookahead_aco_hh_custom_ftsp,30,4.0,19442.6786620281,1421.0,27.240932315534142,2367.5640000000003,8.212102676856084,17071.1146620281,8981.127535025802,206.5959381749999,15.0,aco_hh,Lookahead+FTSP
100,gamma3,la_ftsp,lookahead_alns_custom_bmc_ftsp,30,4.0,19433.392841129047,1451.0,27.240932315534142,2428.253,8.003034626593294,17001.139841129047,8915.018401367026,932.5518542540012,15.0,alns,Lookahead+FTSP
100,gamma3,la_ftsp,lookahead_bpc_custom_ftsp,30,4.0,19433.392841129047,1437.0,27.240932315534142,2411.678,8.058037947490938,17017.714841129047,8931.593401367025,419.7268728010022,15.0,bpc,Lookahead+FTSP
100,gamma3,la_ftsp,lookahead_hgs_custom_oi_ftsp,30,4.0,19433.392841129047,1440.0,27.240932315534142,2384.515,8.149830402043623,17044.877841129048,8958.756401367025,1020.3057397390003,15.0,hgs,Lookahead+FTSP
